case_id,title,suite,suite_id,assignee,time_spent_ms,status,finish_time,steps,steps_input_data,steps_expected_result,steps_status,step_comments,comment,stacktrace,priority,severity,automation,type,tags,case_parameter
11,"Введение буквы недопустимого алфовита","Поле ""Имя""",10,"Таисия К",9911,Passed,"2024-05-28 12:15:51",,,,,,,,"Not set",Normal,Manual,Other,,
29,"Введение имя состоящего из одной буквы","Поле ""Имя""",10,"Таисия К",22000,Failed,"2024-05-28 12:16:17",,,,,,"при введение имя состоящего из одной буквы не выдает Ошибка в поле Имя",,"Not set",Normal,Manual,Other,,
6,"Оставить поле пустым","Поле ""Имя""",10,"Таисия К",7777,Passed,"2024-05-28 12:18:53",,,,,,,,"Not set",Normal,Manual,Other,,
9,"Введение имени более 30 символов","Поле ""Имя""",10,"Таисия К",1242,Passed,"2024-05-28 12:19:01",,,,,,,,"Not set",Normal,Manual,Other,,
12,"Введение цифр","Поле ""Имя""",10,"Таисия К",938,Passed,"2024-05-28 12:19:05",,,,,,,,"Not set",Normal,Manual,Other,,
8,"Начилие звездочки обязательности поле","Поле ""Имя""",10,"Таисия К",1040,Passed,"2024-05-28 12:19:09",,,,,,,,"Not set",Normal,Manual,Other,,
13,"Оставить поле пустым","Поле ""Имя""",10,"Таисия К",713,Passed,"2024-05-28 12:19:13",,,,,,,,"Not set",Normal,Manual,Other,,
21,"Placeholder aveliablilty","Поле ""Имя""",10,"Таисия К",698,Passed,"2024-05-28 12:19:17",,,,,,,,"Not set",Normal,Manual,Other,,
14,"Наличие звездочки обязательности поля","Поле ""Имя""",10,"Таисия К",1138,Passed,"2024-05-28 12:19:21",,,,,,,,"Not set",Normal,Manual,Other,,
16,"Введение ASCIL","Поле ""Имя""",10,"Таисия К",760,Passed,"2024-05-28 12:19:25",,,,,,,,"Not set",Normal,Manual,Other,,
17,"Введение email","Поле ""Имя""",10,"Таисия К",987,Passed,"2024-05-28 12:19:29",,,,,,,,"Not set",Normal,Manual,Other,,
18,"Введение эмодзи","Поле ""Имя""",10,"Таисия К",903,Passed,"2024-05-28 12:19:33",,,,,,,,"Not set",Normal,Manual,Other,,
22,"Введение имени, состоящего из пробелов","Поле ""Имя""",10,"Таисия К",843,Passed,"2024-05-28 12:19:37",,,,,,,,"Not set",Normal,Manual,Other,,
23,"Введение имение через Copy/Paste","Поле ""Имя""",10,"Таисия К",1152,Passed,"2024-05-28 12:19:41",,,,,,,,"Not set",Normal,Manual,Other,,
24,"Нажатие на Enter и переход на другую страницу","Поле ""Имя""",10,"Таисия К",1052,Passed,"2024-05-28 12:19:45",,,,,,,,"Not set",Normal,Manual,Other,,
